frame,center_x,center_y,angle_deg
361,144,5,0.0
362,145,5,0.0
363,145,6,0.0
364,146,5,0.0
365,145,5,90.0
366,146,5,0.0
370,145,5,0.0
371,146,5,75.96376037597656
372,144,5,90.0
373,145,5,0.0
374,143,5,101.30993270874023
376,144,3,90.0
377,144,4,90.0
382,146,5,90.0
383,145,5,90.0
384,145,6,123.6900634765625
385,144,6,90.0
386,146,5,0.0
387,143,5,90.0
389,142,4,90.0
392,146,4,90.0
402,144,4,90.0
415,146,5,90.0
420,143,5,90.0
421,148,5,0.0
423,143,5,90.0
424,143,6,90.0
425,144,6,45.0
426,144,5,63.43495178222656
427,145,5,90.0
428,143,6,90.0
429,144,6,90.0
430,145,5,90.0
431,145,6,90.0
432,145,6,75.96376037597656
433,145,5,90.0
434,147,5,45.0
436,0,0,0.0
456,0,0,0.0
462,0,0,0.0
464,0,0,0.0
471,0,0,0.0
480,1,329,0.0
485,15,289,4.763641834259033
486,22,246,0.0
487,26,208,0.0
488,30,182,0.0
489,34,162,0.0
490,39,154,0.0
491,44,150,178.8308563232422
492,45,146,178.21009063720703
493,47,145,177.7688217163086
494,51,142,135.0
495,53,142,176.86363983154297
496,55,139,176.9471206665039
497,55,137,176.3086166381836
498,55,136,176.37850952148438
499,56,135,175.8150863647461
500,58,134,0.0
501,59,135,176.49646759033203
502,62,135,177.0390625
503,63,137,0.0
504,63,138,176.8201675415039
505,63,138,90.0
506,64,141,90.0
507,64,141,90.0
508,62,142,176.69812774658203
509,62,141,176.69812774658203
510,62,142,176.633544921875
511,65,144,90.0
512,66,142,177.0390625
513,67,143,176.8201675415039
514,67,144,176.72950744628906
